session,scan_idx,unit_id,readout_id,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI
4,7,894,723,-0.168850064,-0.0957299432,19.3924861352,15.7568331469,2.7176576543,6.6947053784
4,7,895,724,-0.033522445,0.2270360237,12.9021389397,11.633695116,-3.1307013626,7.8596421329
4,7,896,725,-0.1229886884,-0.0179345173,11.6548397008,14.3440646199,-1.6887544532,8.2116191927
4,7,897,726,-0.0964269748,0.4234499665,27.5601862738,23.30267633,2.6830314659,6.6375304536
4,7,898,727,-0.1869770539,0.1825807552,25.2338879505,13.7600489005,-3.1415926536,6.5810826473
4,7,899,728,0.0425165173,0.2344730055,25.2234134656,21.4681810319,-3.1103540259,6.6239595492
4,7,901,730,0.0385183916,0.3161428262,21.8593407168,19.8434116291,-3.1415926536,6.7231216627
4,7,902,731,0.0576644797,0.2123769656,19.9526859501,16.4933938034,-0.2640802294,6.8568241798
4,7,903,732,-0.2698100419,0.1845245037,19.6938820726,14.7604297845,-0.0966899609,7.0438895808
4,7,904,733,-0.2088200331,0.3784463287,14.0637015551,10.8214449105,3.1415926536,6.6053520029
4,7,905,734,-0.1939863287,0.1172691069,16.3281462633,14.532821657,-3.1415926536,7.1314846231
4,7,907,736,-0.175414118,-0.0837494995,10.213541079,9.3393254525,-0.6642504699,8.3209714807
4,7,909,738,-0.0588514692,0.0343601584,12.0854061027,10.0996374692,-0.4533938746,6.633786599
4,7,912,740,-0.2362910539,-0.0235913746,25.3898060299,18.5606601056,0.3548256869,6.5209773937
4,7,913,741,-0.2687558404,-0.2334067907,19.7896900968,13.2225715119,0.1624697015,6.8207506418
4,7,914,742,-0.2934104098,-0.2474933286,14.3714392452,11.52351265,3.1415926536,7.4565679478
4,7,915,743,-0.0965406523,0.0426374787,15.880340047,13.1632627645,0.0256775367,7.5395641421
4,7,919,747,-0.0579654091,0.3230814211,18.6201278027,12.9786689678,0.0344669656,8.1259797324
4,7,921,749,-0.0822055682,-0.3993832089,15.5885041013,12.203030367,3.1415926536,6.8505211958
4,7,925,752,-0.1303706815,0.1059810015,15.9952168376,9.9387087628,-0.0895586613,7.1404854177
4,7,926,753,-0.1737884974,-0.0859536558,11.1162843364,9.9592931229,0.7358912526,7.9943028044
4,7,927,754,-0.1907682739,-0.0306554501,10.8222129137,12.0953586493,0.0202186045,6.6825692756
4,7,928,755,-0.1535866724,0.0560560386,10.0268442749,10.3510118429,-3.1415926536,7.1251409412
4,7,929,756,-0.0274113046,-0.1582805761,20.1637651935,14.1212703563,-3.1095628071,8.0537885083
4,7,931,757,-0.1686861948,-0.0762074981,8.3897563243,12.6463069925,-0.0718354409,6.5210611504
4,7,932,758,0.0435651871,-0.0683381769,16.3997721673,18.2631027185,3.1415926536,7.2025274847
4,7,933,759,-0.1431596955,-0.0096273584,16.8318156299,31.6890580055,2.1066121479,6.3793585506
4,7,934,760,-0.0806047781,-0.1265909937,25.147440452,10.483851939,-2.956660899,6.7119733037
4,7,936,761,0.0058632945,0.3369170584,12.8577394701,19.145302322,0.7396798492,6.5745270701
4,7,937,762,0.0039437979,0.0493929903,13.1512192415,11.9298306854,-2.8859044751,8.3256152735
4,7,938,763,-0.2114004565,-0.265649831,25.0657500745,20.4467834178,0.7993099255,6.3074553533
4,7,940,764,-0.0061279247,-0.0419159504,16.7055133676,18.9217105406,1.341815639,7.0945712352
4,7,941,765,-0.0997987037,-0.0657718318,10.134411591,8.9469907544,2.1546143316,7.548732605
4,7,942,766,-0.1680569385,-0.0405721893,17.0318856106,12.8994617643,3.1415926536,6.7958265362
4,7,943,767,-0.2400312936,-0.0649155011,17.5019732376,14.1758074702,-0.5513611322,7.2520694029
4,7,945,769,-0.0596455589,0.0763817373,24.0982920976,10.943349591,-0.3182845777,7.1824225119
4,7,947,770,-0.2297366142,-0.1209463865,12.0136741844,11.1727374023,-0.3871358681,8.0357873724
4,7,948,771,-0.1571198424,0.1533188364,11.1547378451,14.1408014343,1.6313742094,6.8114392306
4,7,950,773,-0.2545795658,-0.0695554104,13.7955994731,13.6201532086,-3.1415926536,7.4408174126
4,7,951,774,-0.2316995821,-0.0997789952,13.3138724012,8.9152992002,-3.1415926536,8.4772402077
4,7,952,775,-0.1655843909,0.027208186,15.4580550779,22.7701614843,-0.8089540505,7.3233782132
4,7,953,776,0.060342161,0.0680500169,12.804191831,10.2308912781,0.319167607,9.0607153722
4,7,955,778,-0.1373048014,0.3010796756,30.184906923,23.0920622161,-2.1632841067,6.6068822122
4,7,956,779,-0.1728265036,-0.2264881768,11.7089689639,9.0930833466,0.1072304969,8.1488606572
